Name,Lat,Lon,SiteID
CSG-QAPN04,15.533800,108.434200,QAPN04
CSG-QAPN06,15.564670,108.371490,QAPN06
CSG-QAPN07,15.584840,108.416430,QAPN07
CSG-QAPN09,15.589440,108.446670,QAPN09
CSG-QAPN21,15.546000,108.410900,QAPN21
CSG-QAPN22,15.562530,108.424930,QAPN22
CSG-QAPN26,15.621960,108.439640,QAPN26
CSG-QAQS03,15.711130,108.267220,QAQS03
CSG-QAQS05,15.788380,108.321330,QAQS05
CSG-QAQS06_2,15.822960,108.292380,QAQS06
CSG-QAQS10,15.739360,108.291340,QAQS10
CSG-QAQS19,15.769230,108.329670,QAQS19
CSG-QAQS22,15.668890,108.211850,QAQS22
CSG-QAQS25,15.806229,108.317636,QAQS25
CSG-QATB02,15.677530,108.406330,QATB02
CSG-QATB03,15.777360,108.422290,QATB03
CSG-QATB04,15.657190,108.275920,QATB04
CSG-QATB06,15.665070,108.353540,QATB06
CSG-QATB07,15.703850,108.326700,QATB07
CSG-QATB10,15.733940,108.348460,QATB10
CSG-QATB11,15.764500,108.340950,QATB11
CSG-QATB14,15.718400,108.378980,QATB14
CSG-QATB15,15.646050,108.459490,QATB15
CSG-QATB18,15.757100,108.352660,QATB18
CSG-QATB19,15.734770,108.409550,QATB19
CSG-QATB20,15.638320,108.250540,QATB20
CSG-QATB23,15.683700,108.345310,QATB23
CSG-QATB24,15.670050,108.375870,QATB24
CSG-QATB25,15.737339,108.384411,QATB25
CSG-QATB26,15.698280,108.396860,QATB26
CSG-QATB27,15.675510,108.438940,QATB27
CSG-QATB29,15.717200,108.341630,QATB29
CSG-QATB31,15.651200,108.420460,QATB31
CSG-QATB32,15.718000,108.464060,QATB32
CSG-QATB34,15.633840,108.396180,QATB34
CSG-QATB35,15.655460,108.503420,QATB35
CSG-QATB37,15.815990,108.333860,QATB37
CSG-QATB42,15.628910,108.228260,QATB42
CSG-QATB43,15.743920,108.354200,QATB43
CSG-QATB45,15.689620,108.398710,QATB45
CSG-QATB46,15.754620,108.418320,QATB46
CSG-QATB47,15.650220,108.392570,QATB47
CSG-QATB48,15.782690,108.398790,QATB48
CSG-QATB49,15.704230,108.382930,QATB49
CSG-QATB54,15.721370,108.450310,QATB54
CSG-QATK02,15.552610,108.509010,QATK02
CSG-QATK03,15.556940,108.487270,QATK03
CSG-QATK05,15.564170,108.473150,QATK05
CSG-QATK07,15.560740,108.500450,QATK07
CSG-QATK09,15.577030,108.509750,QATK09
CSG-QATK14,15.591110,108.478630,QATK14
