BS_Name,BS_Lat,BS_Lon,Nearest_Router_Name,Nearest_Router_Lat,Nearest_Router_Lon,Router_Type,Router_Priority,Router_Site_ID,Route_Distance_KM,Status
"Quảng Trị#Phòng#Phòng PC07, Đội PCCC khu vực Hải lăng",16.71074,107.2445,QTHL03,16.70894,107.26223,CSG,2,,2.7411,Success
"Quảng Trị#Phòng#Phòng PA08, Trạm cửa khẩu Lao Bảo",16.62318,106.5922,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
"Quảng Trị#Phòng#Phòng PA08, Trạm cửa khẩu La Lay",16.3149,106.968445,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Quảng Trị#CAX#Vĩnh Hoàng,17.06962,107.0328,QTVL48,17.04366,107.02607,CSG,2,,5.0113,Success
Quảng Trị#CAX#Bến Quan,17.07631,106.8629,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Quảng Trị#CAX#Cồn Tiên,16.91979,106.9617,QTGL04,16.89502,106.99186,CSG,2,,4.6035,Success
Quảng Trị#CAX#Cửa Tùng,17.00582,107.0823,QTGL12,16.97785,107.09966,CSG,2,,9.3085,Success
Quảng Trị#CAX#Cửa Việt,16.90575,107.1769,QTGL03,16.91624,107.17423,CSG,2,,2.0727,Success
Quảng Trị#CAX#Hiếu Giang,16.80435,107.0406,QTCL13,16.80421,107.04357,CSG,2,,0.5516,Success
Quảng Trị#CAX#Vĩnh Thủy,16.98844,107.0342,QTGL44,16.9664,107.06918,CSG,2,,5.6026,Success
Quảng Trị#CAX#Bến Hải,16.98909,107.1067,QTGL12,16.97785,107.09966,CSG,2,,1.5391,Success
Quảng Trị#CAX#Gio Linh,16.92741,107.0928,QTGL01,16.942,107.07308,AGG,1,,4.3065,Success
Quảng Trị#CAX#Đông Hà,16.81241,107.0893,QTDH19,16.813592,107.088038,CSG,2,,0.2746,Success
Quảng Trị#CAX#Nam Hải Lăng,16.62344,107.3062,QTHL06,16.66435,107.27957,CSG,2,,6.1709,Success
Quảng Trị#CAX#Mỹ Thủy,16.72653,107.335,QTHL10,16.72602,107.33658,CSG,2,,0.2832,Success
Quảng Trị#CAX#Vĩnh Định,16.7645,107.224,QTHL19,16.75345,107.2156,CSG,2,,1.7113,Success
Quảng Trị#CAX#Triệu Bình,16.83946,107.1305,QTTP17,16.82937,107.16792,CSG,2,,4.5361,Success
