Tuyến cáp                    , lat1       , lon1       , lat2       , lon2       , Desc,
DLBT37-DLBT70                ,12.61817,108.0102321,12.63359,107.98333," ""08/2023/HĐDV/MOBIFONE-CMC - Cap thue DLBT37-DLBT70 - CSG # 6","1 km"""
DLBT70-DLBT20                ,12.63359,107.98333,12.67664,107.99387," ""08/2023/HĐDV/MOBIFONE-CMC - Cap thue DLBT70-DLBT20 - CSG # 14","4 km"""
DLBT20-DLBTMA01              ,12.67664,107.99387,12.68287,108.0352," ""08/2023/HĐDV/MOBIFONE-CMC - Cap thue DLBT20-DLBTMA01 - CSG # 5","8 km"""
DLBTMA01-DLBT29              ,12.68287,108.0352,12.68652,108.09521," ""08/2023/HĐDV/MOBIFONE-CMC - Cap thue DLBTMA01-DLBT29 - CSG # 7","4 km"""
DLBT29-DLBT07                ,12.68652,108.09521,12.690778,108.06661," ""08/2023/HĐDV/MOBIFONE-CMC - Cap thue DLBT29-DLBT07 - CSG # 4","01 km"""
DLBT07-DLBT09                ,12.690778,108.06661,12.6882169,108.0558705," ""08/2023/HĐDV/MOBIFONE-CMC - Cap thue DLBT07-DLBT09 - CSG # 2","42 km"""
DLEH27-DLEH03                ,13.147942,108.128962,13.223465,108.089773," ""08/2023/HĐDV/MOBIFONE-CMC - Cap thue DLEH27-DLEH03 - CSG # 31","47 km"""
DLEH03-DLEH13                ,13.223465,108.089773,13.31533,108.1491," ""08/2023/HĐDV/MOBIFONE-CMC - Cap thue DLEH03-DLEH13 - CSG # 16","79 km"""
DLEH13-DLEH21                ,13.31533,108.1491,13.231676,108.18943," ""08/2023/HĐDV/MOBIFONE-CMC - Cap thue DLEH13-DLEH21 - CSG # 13","29 km"""
DLEH21-DLKN34                ,13.231676,108.18943,13.0474795,108.3976334," ""08/2023/HĐDV/MOBIFONE-CMC - Cap thue DLEH21-DLKN34 - CSG # 40","12 km"""
DLKN34-DLKN08                ,13.0474795,108.3976334,12.984655,108.434933," ""08/2023/HĐDV/MOBIFONE-CMC - Cap thue DLKN34-DLKN08 - CSG # 10","86 km"""
DLKN08-DLKN27                ,12.984655,108.434933,12.9595,108.34714," ""08/2023/HĐDV/MOBIFONE-CMC - Cap thue DLKN08-DLKN27 - CSG # 13","55 km"""
DLCG03-DLEH27                ,12.911,108.19305,13.147942,108.128962," ""08/2023/HĐDV/MOBIFONE-CMC - Cap thue DLCG03-DLEH27 - CSG # 46","33 km"""
KHDKMA01-KHDK15              ,12.2572477,109.1071688,12.27,109.0894," ""08/2023/HĐDV/MOBIFONE-CMC - Cap thue KHDKMA01-KHDK15 - CSG # 3","06 km"""
KHDK15-KHDK37                ,12.27,109.0894,12.30831901,108.997223," ""08/2023/HĐDV/MOBIFONE-CMC - Cap thue KHDK15-KHDK37 - CSG # 13","55 km"""
KHDK37-KHDK25                ,12.30831901,108.997223,12.26144,109.03792," ""08/2023/HĐDV/MOBIFONE-CMC - Cap thue KHDK37-KHDK25 - CSG # 7","78 km"""
KHDKMA01-KHNT1M              ,12.2572477,109.1071688,12.25462701,109.137053," ""08/2023/HĐDV/MOBIFONE-CMC - Cap thue KHDKMA01-KHNT1M - CSG # 4","1 km"""
KHNT1M-KHNT96                ,12.25462701,109.137053,12.2557692,109.15878," ""08/2023/HĐDV/MOBIFONE-CMC - Cap thue KHNT1M-KHNT96 - CSG # 2","91 km"""
