Name,lat1,lon1,lat2,lon2,Desc
Trung tâm huấn luyện PX01-DLBT86,12.67325,108.0336,12.67646,108.02686,FO DT#MBF#DLBT72-DLBT86
DLBT34-Ea Kao,12.653292,108.029603,12.66006,108.0303,FO DT#MBF#DLBT34-DLBT88
DLBT52-TT1 Đăk Lăk,12.68915,108.04834,12.6843,108.0528,FO DT#MBF#DLBT52-DLBT09
PC04-DLBT52,12.68355,108.0445,12.68915,108.04834,FO DT#MBF#DLBT17-DLBT52
DLBTMA01-PC04,12.68287,108.0352,12.68355,108.0445,FO DT#MBF#DLBTMA01-DLBT17
Đà Nẵng#TTCMKV#Cẩm Lệ-DNCL85,16.01692,108.2035,16.02172,108.19318,FO thuê#CMC#DNCL85-DNCL28
Đà Nẵng#TTCMKV#Cẩm Lệ-DNCL09,16.01692,108.2035,16.03661,108.20921,FO thuê#PITC#DNCL28-DNCL09
Đà Nẵng#TTCMKV#Cẩm Lệ-DNCL01,16.01692,108.2035,16.012964,108.19103,FO thuê#CMC#DNCL28-DNCL01
Đà Nẵng#TTCMKV#Cẩm Lệ-DNCL16,16.01692,108.2035,16.01738,108.19576,FO thuê#CMC#DNCL28-DNCL16
Đà Nẵng#TTCMKV#TT1 Đà Nẵng-DNHC27,16.07756,108.2192,16.067517,108.215971,FO thuê#CMC#DNHC17-DNHC27
Đà Nẵng#TTCMKV#TT1 Đà Nẵng-DNHC62,16.07756,108.2192,16.082465,108.21869,FO thuê#CMC#DNHC17-DNHC62
Đà Nẵng#TTCMKV#TT1 Đà Nẵng-DNHC73,16.07756,108.2192,16.07745,108.22386,FO thuê#CMC#DNHC17-DNHC73
Đà Nẵng#TTCMKV#Hòa Vang-DNHV60,15.9881,108.1402,15.99802,108.13792,FO thuê#CMC#DNHV60-DNHV01
Đà Nẵng#TTCMKV#Hòa Vang-DNHV78,15.9881,108.1402,16.00809,108.15424,FO thuê#CMC#DNHV78-DNHV01
Đà Nẵng#TTCMKV#Hòa Vang-DNHV11,15.9881,108.1402,15.983611,108.126417,FO thuê#CMC#DNHV01-DNHV11
Đà Nẵng#TTCMKV#Hòa Vang-DNHV18,15.9881,108.1402,15.98991,108.14337,FO thuê#CMC#DNHV01-DNHV18
